refdes;partname;type;Applications;Availability;Built_By;Capacitance;Check_prices;ComponentLink1Description;ComponentLink1URL;ComponentLink2Description;ComponentLink2URL;Composition;Copyright;Datasheet;Device_Package;Digikey_Link;ESR_(Equivalent_Series_Resistance);Features;Height_-_Seated_(Max);LastUpdated;LatestRevisionDate;LatestRevisionNote;Lifecycle_Status;Lifetime_@_Temp.;MF;MP;Manufacturer;Manufacturer_Part_Number;Manufacturer_Size_Code;Minimum_Order;Mounting_Type;Number_of_Terminations;Operating_Temperature;Package;Package_/_Case;Packaging;PartId;Part_Number;Part_Status;Power_(Watts);Price;Publisher;Purchase-URL;RefDes;Resistance;Series;Size_/_Dimension;SnapEDA_Link;SourceLibrary;Supplier_1;Supplier_Device_Package;Supplier_Part_Number_1;Temperature_Coefficient;Thickness_(Max);Tolerance;Type;Value;Vendor;Voltage_-_Rated
R2;220_Ohms;R;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; CRCW0603220RJNEAHP;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 220 Ohms;  ;  
R5;10_kOhms;R;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; CRCW060310K0FKEAHP;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 10 kOhms;  ;  
U1;STM32F746IGT6; ;  ;  ; EMA_Jessica;  ;  ;  ;  ;  ;  ;  ; Copyright (C) 2018 Accelerated Designs. All rights reserved;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; STM32F746IGT6;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; RefDes;  ;  ;  ;  ; Add_to_database_2020-10-19;  ;  ;  ;  ;  ;  ; DEV;  ; STMicroelectronics;  
U3;AT25SF128A-SHB-T; ;  ; Warning;  ;  ; https://www.snapeda.com/parts/AT25SF128A-SHB-T/Dialog%20Semiconductor/view-part/5488499/?ref=eda;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Dialog Semiconductor; AT25SF128A-SHB-T;  ;  ;  ;  ;  ;  ;  ; SOIC-8 Dialog Semiconductor;  ;  ;  ;  ;  ;  ; None;  ; https://pricing.snapeda.com/search/part/AT25SF128A-SHB-T/?ref=eda;  ;  ;  ;  ; https://www.snapeda.com/parts/AT25SF128A-SHB-T/Dialog%20Semiconductor/view-part/5488499/?ref=snap;  ;  ;  ;  ;  ;  ;  ;  ; ;  ;  
Y1;ABM3B-8.000MHZ-B2-T; ;  ; Good;  ;  ; https://www.snapeda.com/parts/ABM3B-8.000MHZ-B2-T/Abracon%20LLC/view-part/42698/?ref=eda;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Abracon; ABM3B-8.000MHZ-B2-T;  ;  ;  ;  ;  ;  ;  ; SMD-4 Abracon LLC;  ;  ;  ;  ;  ;  ; None;  ; https://pricing.snapeda.com/search/part/ABM3B-8.000MHZ-B2-T/?ref=eda;  ;  ;  ;  ; https://www.snapeda.com/parts/ABM3B-8.000MHZ-B2-T/Abracon%20LLC/view-part/42698/?ref=snap;  ;  ;  ;  ;  ;  ;  ;  ; ;  ;  
C14;0.1_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6R3X14W104MV4T;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.1µF;  ;  
C15;1_F;C;  ;  ;  ; 1µF;  ; Datasheet; https://api.kemet.com/component-edge/download/datasheet/T494A105M016AT.pdf; DigiKey Link; http://digikey.com/product-detail/en/kemet/T494A105M016AT/399-8429-1-ND/3472152;  ;  ;  ; 1206 (3216 Metric);  ; 6Ohm; General Purpose; 0.071_ (1.80mm); 9/2/2020 1:15:52 AM;  ;  ; Active; 2000 Hrs @ 125°C;  ;  ; KEMET;  ; A; 1; Surface Mount;  ; -55°C ~ 125°C;  ; 1206 (3216 Metric); TapeAndReel; 2393; T494A105M016AT; Active;  ; 0.20;  ;  ;  ;  ; T494; 0.126_ L x 0.063_ W (3.20mm x 1.60mm);  ;  ; DigiKey;  ; 399-8429-1-ND;  ;  ; ±20%; Molded; 1µF;  ; 16V
C16;0.1_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6R3X14W104MV4T;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.1µF;  ;  
C19;0.1_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6R3X14W104MV4T;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.1µF;  ;  
C21;4.7_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; C0603C475K9PACTU;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 4.7µF;  ;  
